name,description,url-href,price,reviews,activeCategory,image-src
Product Tabs M2,Drive customers to purchase faster by providing additional information in handy tabs with Magento 2 Product Tabs extension. Quickly create custom tabs without special knowledge and embed them on product pages to maximize the number of purchases.,https://amasty.com/product-tabs-for-magento-2.html,$149,4.8,User Experience,https://amasty.com/v1587666071/media/catalog/product/p/r/product-tabs-for-magento-2.svg
Extended Order Grid M2,"Increase your order grid functionality - add customer, product, shipping or billing attributes to see only relevant order info and rapidly search for orders.",https://amasty.com/extended-order-grid-for-magento-2.html,$119,5,Order Management,https://amasty.com/v1587651669/media/catalog/product/e/x/extended-order-grid-for-magento-2_1.svg
Advanced Search M2,Make the search process as easy as it can be with Magento 2 Advanced Search. Help customers instantly find the products they need. Flexibly customize the autocomplete popup.,https://amasty.com/advanced-search-for-magento-2.html,$199,5,Navigation & Search,https://amasty.com/v1587651669/media/catalog/product/a/d/advanced-search-for-magento-2.svg
One Step Checkout M2,Supply your Magento 2 store with a user-friendly One Step Checkout to speed up the whole shopping process and heavily enhance customer satisfaction. Create converting checkout just in a few clicks to boost store revenue.,https://amasty.com/one-step-checkout-for-magento-2.html,$299,5,Checkout,https://amasty.com/v1587651669/media/catalog/product/o/n/one-step-checkout-for-magento-2.svg
Lazy Load M2,Speed up the loading time of your site pages with Magento 2 Lazy Load. Improve your site performance by loading product images by demand!,https://amasty.com/lazy-load-for-magento-2.html,$259,null,User Experience,https://amasty.com/v1587666071/media/catalog/product/l/a/lazy-load-for-magento-2.svg
Automatic Related Products M2,Dynamically showcase related items in your webstore to help customers easily find necessary products and complete the order. Boost store revenue by setting up smart product recommendations with Magento 2 Related Products!,https://amasty.com/automatic-related-products-for-magento-2.html,$299,4.9,Customers' Data,https://amasty.com/v1587651669/media/catalog/product/a/u/automatic-related-products-for-magento-2.svg
Follow Up Email M2,Generate and send numerous triggered emails based on customer activity to build productive relationships with clients and increase the number of repeated purchases. Customize email templates and effectively manage emails dispatch.,https://amasty.com/follow-up-email-for-magento-2.html,$299,5,Customers' Data,https://amasty.com/v1587651669/media/catalog/product/f/o/follow-up-email-for-magento-2.svg
Shop by Brand M2,Support your customers in their desire to navigate store in search for the favorite brands. Let shoppers filter products by brands to spend less time on reaching the goods they are looking for.,https://amasty.com/shop-by-brand-for-magento-2.html,$129,5,Navigation & Search,https://amasty.com/v1587651669/media/catalog/product/s/h/shop-by-brand-for-magento-2_1.svg
Admin Actions Log M2,Magento 2 Admin Actions log is designed to enhance your store security and protect data from possible hacker and other malicious attacks. Get complete visibility of every change made in your store admin panel!,https://amasty.com/admin-actions-log-for-magento-2.html,$249,4.8,Order Management,https://amasty.com/v1587651669/media/catalog/product/a/d/admin-actions-log-for-magento-2.svg
Jet Theme M2,Attract more customers with trendy and super-responsive design. Keep the performance high and enjoy using other extensions avoiding any compatibility conflicts.,https://amasty.com/jet-theme-for-magento-2.html,null,null,User Experience,https://amasty.com/v1587666071/media/catalog/product/c/u/custom-design-theme-for-magento-2.svg
Advanced Product Reviews M2,Build up trust in your business with Magento 2 Product Reviews. Engage customers and boost sales with user-generated reviews and get higher search ranking position.,https://amasty.com/advanced-product-reviews-for-magento-2.html,$199,4.9,Product Page Improvement,https://amasty.com/v1587651669/media/catalog/product/a/d/advanced-product-reviews-for-magento-2_2.svg
Follow Up Email M2,Generate and send numerous triggered emails based on customer activity to build productive relationships with clients and increase the number of repeated purchases. Customize email templates and effectively manage emails dispatch.,https://amasty.com/follow-up-email-for-magento-2.html,$299,5,Promotions,https://amasty.com/v1587658870/media/catalog/product/f/o/follow-up-email-for-magento-2.svg
Subscriptions & Recurring Payments M2,Grow revenue by selling products on the subscription basis and getting sustainable recurring payments with Magento 2 Subscription extension.,https://amasty.com/subscriptions-recurring-payments-for-magento-2.html,$399,4.7,Checkout,https://amasty.com/v1587651669/media/catalog/product/s/u/subscriptions-_-recurring-payments-gift-for-magento-2.svg
Import and Export M2,"Import and Export for Magento 2 is an all-in-one tool for a convenient store data migration, smooth connection with the ERP/CRM systems and making regular stock updates. The extension allows you to import/export any existing entity to/from Magento.",https://amasty.com/import-and-export-for-magento-2.html,null,null,B2B Products,https://amasty.com/v1587666071/media/catalog/product/i/m/import-and-export-for-m2-for-magento-2.svg
Customers Also Bought M2,Increase an average cart value by automatically suggesting relevant products. Create flexible recommendations with the Magento 2 Frequently Bought Together extension to promote products according to your business needs and boost sales.,https://amasty.com/magento-2-customers-also-bought.html,$299,4.8,User Experience,https://amasty.com/v1587666071/media/catalog/product/c/u/customers-also-bought-for-magento-2.svg
Mega Menu M2,Improve customer shopping experience by providing a fast and flexible access across your webstore pages. Employ Magento 2 Mega Menu extension to create attractive and dynamic navigation menu without any technical skills.,https://amasty.com/mega-menu-for-magento-2.html,$199,4.8,Navigation & Search,https://amasty.com/v1587651669/media/catalog/product/m/e/mega-menu-for-magento-2.svg
Advanced Permissions M2,"Easily manage multi-vendor stores by assigning custom role permissions to specific managers. Let them see and edit only particular products, categories, store views and websites.",https://amasty.com/advanced-permissions-for-magento-2.html,$229,4.4,Catalog Management,https://amasty.com/v1587666071/media/catalog/product/a/d/advanced-permissions-for-magento-2.svg
Full Page Cache Warmer M2,Ensure fast web-site browsing experience with Magento 2 Full Page Cache Warmer. Provide users a flawless store performance to top search rankings and attract more visitors.,https://amasty.com/full-page-cache-warmer-for-magento-2.html,$219,4.7,SEO,https://amasty.com/v1587651669/media/catalog/product/f/u/full-page-cache-warmer-for-magento-2_1.svg
Cron Scheduler M2,Increase revenue through a high site performance ensured by proper cron jobs processing. Efficiently track and manage all cron tasks running in the website background with Magento 2 Cron Scheduler extension.,https://amasty.com/cron-scheduler-for-magento-2.html,$99,4.7,User Experience,https://amasty.com/v1587666071/media/catalog/product/c/r/cron-scheduler-for-magento-2.svg
Special Promotions M2,Enrich your cart price rules list with 20 more promo actions. Run a great variety of exclusive promotions to easily attract customers' attention and increase sales.,https://amasty.com/special-promotions-for-magento-2.html,$279,5,Product Page Improvement,https://amasty.com/v1587651669/media/catalog/product/s/p/special-promotions-for-magento-2.svg
XML Google® Sitemap M2,Automatically generate XML Sitemaps in an efficient way. Let your web store communicate with the search engines quickly and properly.,https://amasty.com/xml-google-sitemap-for-magento-2.html,$99,5,SEO,https://amasty.com/v1587651669/media/catalog/product/x/m/xml-google-sitemap-for-magento-2.svg
Unique Product URL M2,Create unique product URLs to avoid situations when a product has multiple links to it. Settle the desired URL depth level to optimize the paths to your product pages and make them search engine friendly.,https://amasty.com/unique-product-url-for-magento-2.html,$109,5,SEO,https://amasty.com/v1587651669/media/catalog/product/u/n/unique-product-url-for-magento-2.svg
Reports for Free Gift (Add-On) M2,See the efficiency of your promo campaigns in one click with Reports for Free Gift for Magento 2 add-on. Get actionable insights on how special offers impact sales to timely manage your marketing strategy and save money.,https://amasty.com/reports-add-on-for-free-gift-for-magento-2.html,$79,null,Add-ons,https://amasty.com/v1587651669/media/catalog/product/f/r/free_gift_reports_add-on_for_free_gift_m2.svg
Subscriptions & Recurring Payments M2,Grow revenue by selling products on the subscription basis and getting sustainable recurring payments with Magento 2 Subscription extension.,https://amasty.com/subscriptions-recurring-payments-for-magento-2.html,$399,4.7,User Experience,https://amasty.com/v1587666071/media/catalog/product/s/u/subscriptions-_-recurring-payments-gift-for-magento-2.svg
Special Promotions Pro M2,Shape your discounts with clever conditions. Create promotions based on customers' info and purchase history. Use 20 actions to be sure that your promotions are unique and relevant.,https://amasty.com/special-promotions-pro-for-magento-2.html,$319,4.8,Promotions,https://amasty.com/v1587658870/media/catalog/product/s/p/special-promotions-pro-for-magento-2.svg
API for Product Attachments (Add-On) M2,Integrate product attachments with additional systems and extend your Magento 2 functionality using API support.,https://amasty.com/api-add-on-for-product-attachments-for-magento-2.html,$99,4,Add-ons,https://amasty.com/v1587651669/media/catalog/product/a/d/add-on-api-for-product-attachments-for-magento-2_2.svg
Price Slider & Filters M2,Increase your store conversion rate by improving the users’ filtering experience and thus speeding up the shopping process with Magento 2 Price Slider & Filters.,https://amasty.com/price-slider-filters-for-magento-2.html,$89,4.8,Navigation & Search,https://amasty.com/v1587651669/media/catalog/product/p/r/price-slider-_-filters-for-magento-2.svg
Admin Actions Log M2,Magento 2 Admin Actions log is designed to enhance your store security and protect data from possible hacker and other malicious attacks. Get complete visibility of every change made in your store admin panel!,https://amasty.com/admin-actions-log-for-magento-2.html,$249,4.8,Catalog Management,https://amasty.com/v1587666071/media/catalog/product/a/d/admin-actions-log-for-magento-2.svg
Customer Segmentation M2,"Accurately segment registered customers and guest visitors by orders, shipping addresses, shopping cart data and many other parameters. Use flexible rule conditions to create customer segments and automatically update segmentation lists by cron.",https://amasty.com/customer-segmentation-for-magento-2.html,$199,5,Customers' Data,https://amasty.com/v1587651669/media/catalog/product/c/u/customer-segmentation-for-magento-2.svg
Out of Stock Notification M2,Timely inform customers and guest visitors about product stock status and price changes with Magento 2 Out of Stock Notification. Better understand your customers preferences: quickly identify which products are highly demanded and timely refill them in your store!,https://amasty.com/out-of-stock-notification-for-magento-2.html,$199,4.8,Product Page Improvement,https://amasty.com/v1587651669/media/catalog/product/o/u/out-of-stock-notification-for-magento-2.svg
Cross-Sell / Upsell Products M2,"Increase trust in your shop by delivering offers with a higher value to customers. Use Magento 2 Cross Sells extension to increase the number of spontaneous purchases, average cart value, total sales and customer satisfaction.",https://amasty.com/magento-2-upsell-cross-sell-extension.html,$299,4.5,Product Page Improvement,https://amasty.com/v1587651669/media/catalog/product/u/p/upsell-cross-sell-extension-for-magento-2.svg
Custom Registration Fields M2,Get to know your clients better from the moment of registration. Add Magento 2 custom registration fields to forms at the New Customer Account and Shipping pages. Get reports on the fields and forms performance and analyze the data for further marketing strategy improvements.,https://amasty.com/magento-2-custom-registration-fields.html,$149,4.8,Customers' Data,https://amasty.com/v1587651669/media/catalog/product/c/u/custom-registration-fields-for-magento-2.svg
Stripe Payment M2,Provide your customers with a safe and seamless payment experience. Let your customers pay via a wide range of payment methods with no need to implement a custom integration endpoint for each one.,https://amasty.com/stripe-payment-for-magento-2.html,$199,5,Checkout,https://amasty.com/v1587651669/media/catalog/product/s/t/stripe-payment-for-magento-2.svg
Duplicate Categories M2,"Save your time on store management and duplicate Magento 2 categories in seconds. Use this tool for effective multi-store setup, too!",https://amasty.com/duplicate-categories-for-magento-2.html,$139,5,Catalog Management,https://amasty.com/v1587666071/media/catalog/product/d/u/duplicate-categories-for-magento-2.svg
Facebook Feed M2,Make advertising via Facebook Dynamic Ads easier by using this Magento 2 Facebook feed extension for quick and accurate product feed generation. Attract more customers to your Magento 2 store with always up-to-date info about your products on social media.,https://amasty.com/magento-2-facebook-feed.html,$199,4.7,SEO,https://amasty.com/v1587651669/media/catalog/product/f/a/facebook-feed-for-magento-2.svg
Two-Factor Authentication M2,"Add extra security level to boost data protection for your e-business. Prevent your store from the common Internet threats like keyloggers, data sniffing and unsecured wi-fi connections. Stay convinced that your Magento account is available only to your staff members.",https://amasty.com/two-factor-authentication-for-magento-2.html,$129,5,Catalog Management,https://amasty.com/v1587666071/media/catalog/product/t/w/two-factor-authentication-for-magento-2.svg
SEO Toolkit M2,"SEO Toolkit is the all-in-one Magento 2 SEO Extension designed to make your store stand out in Google Search. Maximize your Magento SEO effectiveness: make your store more visible in search results, get more organic traffic, increase your customer flow.",https://amasty.com/seo-toolkit-for-magento-2.html,$249,4.9,SEO,https://amasty.com/v1587651669/media/catalog/product/s/e/seo-toolkit-for-magento-2.svg
Free Shipping Bar M2,Magento 2 Free shipping bar helps boost order value and sales by delivering a tempting offer.,https://amasty.com/free-shipping-bar-for-magento-2.html,$99,4.5,Shipping,https://amasty.com/v1587651669/media/catalog/product/f/r/free-shipping-bar-for-magento-2.svg
Multi Warehouse Inventory M2,Equip your store with an advanced Magento 2 Warehouse Management Tool. Easily split inventory among multiple warehouses and effectively manage stock right from the product grid or the particular warehouse page.,https://amasty.com/multi-warehouse-inventory-for-magento-2.html,$349,4.5,B2B Products,https://amasty.com/v1587666071/media/catalog/product/m/u/multi-warehouse-inventory-for-magento-2.svg
Loyalty Program M2,Create a unique loyalty program to reward regular customers with exclusive discounts. Use flexible shopping cart rules to generate targeted offers and boost sales.,https://amasty.com/loyalty-program-for-magento-2.html,$349,4.8,Promotions,https://amasty.com/v1587658870/media/catalog/product/l/o/loyalty-program-for-magento-2.svg
Order Status M2,Create informative order statuses to make order processing maximally clear both for customers and for admin users. Easily manage statuses on the grid and timely notify clients about status changes.,https://amasty.com/magento-2-order-status.html,$139,4.8,Order Management,https://amasty.com/v1587651669/media/catalog/product/o/r/order-status-for-magento-2.svg
Abandoned Cart Email M2,Augment sales revenue by the increased number of completed orders. Return lost revenue by automatically sending catchy reminders. Enhance customer loyalty by offering discount coupons.,https://amasty.com/abandoned-cart-email-for-magento-2.html,$149,4.9,Checkout,https://amasty.com/v1587651669/media/catalog/product/a/b/abandoned-cart-email-for-magento-2.svg
Shipping Rules M2,"Create custom shipping rules based on a variety of product conditions and shopping cart attributes. Apply additional delivery options surcharge, discount or replace shipping rates according to your business needs.",https://amasty.com/shipping-rules-for-magento-2.html,$199,4.8,Shipping,https://amasty.com/v1587651669/media/catalog/product/s/h/shipping-rules-for-magento-2.svg
Product Tabs M2,Drive customers to purchase faster by providing additional information in handy tabs with Magento 2 Product Tabs extension. Quickly create custom tabs without special knowledge and embed them on product pages to maximize the number of purchases.,https://amasty.com/product-tabs-for-magento-2.html,$149,4.8,Product Page Improvement,https://amasty.com/v1587651669/media/catalog/product/p/r/product-tabs-for-magento-2.svg
Login with Apple ID for Social Login (Add-On) M2,Improve customer retention by offering them a secure and user-friendly login option on your website. Let users register and sign in with one click with a trustworthy Apple ID.,https://amasty.com/login-with-apple-id-add-on-for-social-login-for-magento-2.html,$99,4.5,Add-ons,https://amasty.com/v1587651669/media/catalog/product/a/d/add-on-sign-in-with-your-apple-id-for-magento-2.svg
Loyalty Program M2,Create a unique loyalty program to reward regular customers with exclusive discounts. Use flexible shopping cart rules to generate targeted offers and boost sales.,https://amasty.com/loyalty-program-for-magento-2.html,$349,4.8,Customers' Data,https://amasty.com/v1587651669/media/catalog/product/l/o/loyalty-program-for-magento-2.svg
Google Account Login M2,Instantly access your store backend without remembering complex passwords with Magento 2 Google Account Login. Reduce manual efforts onboarding new employees automatically and securely.,https://amasty.com/google-account-login-for-magento-2.html,$99,5,B2B Products,https://amasty.com/v1587666071/media/catalog/product/g/o/google-account-login-for-magento-2.svg
Store Pickup with Locator M2,Enhance customers' loyalty by providing an additional shipping option with Magento 2 Store Pickup with Locator. Drive more sales attracting buyers to your brick-and-mortar stores with a complex solution.,https://amasty.com/store-pickup-with-locator-for-magento-2.html,$299,4,User Experience,https://amasty.com/v1587666071/media/catalog/product/s/t/store-pickup-with-locator-for-magento-2.svg
GDPR M2,Magento 2 GDPR extension is designed to help online stores comply with the latest legislative EU requirements and strengthen data security and privacy. Make sure your site asks for all required consents to avoid penalties and be ahead of the competition!,https://amasty.com/gdpr-for-magento-2.html,$219,4.9,Customers' Data,https://amasty.com/v1587651669/media/catalog/product/g/d/gdpr-gift-for-magento-2.svg
Security Suite M2,Employ Magento 2 Security Suite extension to ensure your webstore protection from hacker attacks and other malicious security threats. Enhance store management performance getting full visibility of all backend activities.,https://amasty.com/security-suite-for-magento-2.html,$399,4.7,Customers' Data,https://amasty.com/v1587651669/media/catalog/product/s/e/security-suite-for-magento-2.svg
Custom Promo Conditions M2,Turn your promotions to highly personalized ones with the Custom Conditions for Magento 2 extension.,https://amasty.com/custom-options-conditions-for-magento-2.html,$65,null,Promotions,https://amasty.com/v1587658870/media/catalog/product/c/o/component-for-magento-2.svg
Multi Warehouse Inventory M2,Equip your store with an advanced Magento 2 Warehouse Management Tool. Easily split inventory among multiple warehouses and effectively manage stock right from the product grid or the particular warehouse page.,https://amasty.com/multi-warehouse-inventory-for-magento-2.html,$349,4.5,Catalog Management,https://amasty.com/v1587666071/media/catalog/product/m/u/multi-warehouse-inventory-for-magento-2.svg
Shipping & Payment By Customer Groups M2,Show or hide shipping and payment methods for various customer groups according to your business needs,https://amasty.com/shipping-payment-by-customer-group-for-magento-2.html,$139,5,Shipping,https://amasty.com/v1587651669/media/catalog/product/s/h/shipping-_-payment-by-customer-groups-for-magento-2.svg
Discounts for Active Reviewers for Advanced Product Reviews (Add-On) M2,Motivate customers to leave more reviews and significantly increase their retention rate by granting discounts based on the customer recommendation activity.,https://amasty.com/discounts-add-on-for-advanced-product-reviews-for-magento-2.html,$49,null,Add-ons,https://amasty.com/v1587651669/media/catalog/product/d/i/discounts-for-active-reviewers-for-advanced-product-review-addon-for-magento-2.svg
Shipping Cost Calculator M2,Let your customers calculate shipping rates before the checkout to decrease abandoned cart rate by up to 44% and enhance their shopping experience.,https://amasty.com/shipping-cost-calculator-for-magento-2.html,$119,4.7,Shipping,https://amasty.com/v1587651669/media/catalog/product/s/h/shipping-calculator-for-magento-2.svg
Cancel Orders M2,Increase customer loyalty by allowing them to cancel their order right from the frontend. Easily manage cancellation requests and restock products with the Magento 2 Cancel Orders extension.,https://amasty.com/cancel-orders-for-magento-2.html,$79,null,Order Management,https://amasty.com/v1587651669/media/catalog/product/c/a/cancel-orders-for-magento-2.svg
Order Attributes M2,Add an unlimited number of extra fields to your checkout page to easily collect and process additional order related data. Display all created order attributes on a handy backend grid to keep necessary information at hand.,https://amasty.com/order-attributes-for-magento-2.html,$199,4.5,Checkout,https://amasty.com/v1587651669/media/catalog/product/o/r/order-attributes-for-magento-2.svg
Elastic Search M2,"Magento 2 Elastic Search extension is an advanced solution which provides your store with highly accurate, fast and flexible search.",https://amasty.com/elasticsearch-for-magento-2.html,$279,4.8,B2B Products,https://amasty.com/v1587666071/media/catalog/product/e/l/elastic-search-for-magento-2.svg
Store Locator M2,Easily guide customers to the nearest stores with Magento 2 Store Locator. Drive more offline sales connecting your webstore to physical stores.,https://amasty.com/store-locator-for-magento-2.html,$199,4.7,Navigation & Search,https://amasty.com/v1587651669/media/catalog/product/s/t/store-locator-for-magento-2.svg
Landing Pages M2,Let customers explore your store goods goods via multiple landing pages. Boost sales with custom selection of products for each page. Improve your site search engine ranking building SEO-optimized unique content.,https://amasty.com/landing-pages-for-magento-2.html,$149,5,SEO,https://amasty.com/v1587651669/media/catalog/product/l/a/landing-pages-for-magento-2_1.svg
GeoIP Redirect M2,"Automatically redirect customers, change currency and language depending on visitors’ location. Use Magento 2 GeoIP extension to expand your business across other countries without creating a separate store.",https://amasty.com/geoip-redirect-for-magento-2.html,$179,4.5,User Experience,https://amasty.com/v1587666071/media/catalog/product/g/e/geoip-redirect-for-magento-2.svg
