id,title,description,price,url,avg_review,image,company,tags,category,github_link,reviewcount,current_version,updated,thirdparty,require_license,pwa_ready,updated_at,created_at
368,Jet Theme M2,Attract more customers with trendy and super-responsive design. Keep the performance high and enjoy using other extensions avoiding any compatibility conflicts.,"0",https://amasty.com/jet-theme-for-magento-2.html,null,https://amasty.com/v1587666071/media/catalog/product/c/u/custom-design-theme-for-magento-2.svg,Amasty,"",User Experience,"",,,,,"0","0",2022-01-23 01:36:07,2020-04-26 17:27:35
439,Import and Export M2,"Import and Export for Magento 2 is an all-in-one tool for a convenient store data migration, smooth connection with the ERP/CRM systems and making regular stock updates. The extension allows you to import/export any existing entity to/from Magento.","0",https://amasty.com/import-and-export-for-magento-2.html,null,https://amasty.com/v1587666071/media/catalog/product/i/m/import-and-export-for-m2-for-magento-2.svg,Amasty,"",Catalog Management,"",,,,,"0","0",2022-01-23 01:36:07,2020-04-26 17:27:35
453,Facebook Comments M2,Let your customers share their reviews more easily and efficiently. Enhance your sales conversion and credibility.,"0",https://amasty.com/facebook-comments-for-magento-2.html,null,https://amasty.com/v1587658870/media/catalog/product/f/a/facebook-comments-for-magento-2.svg,Amasty,"",social,"",,,,,"0","0",2022-01-23 01:35:51,2020-04-26 17:27:35
659,Magento 2 Product List,"Displaying product list ( Latest, New Arrival, Special, Most Popular, Best... ","0",https://landofcoder.com/magento-2-product-list.html,null,https://landofcoder.com/media/catalog/product/cache/1/small_image/350x/040ec09b1e35df139433887a97daa66f/m/2/m2-product-list.png,Landofcoder,"","","",,,,,"0","0",2022-01-23 01:37:07,2020-04-27 03:58:32
663,Magento 2 Affiliate Extension Free,Are you looking for a perfect extension to create your affiliate... ,"0",https://landofcoder.com/magento-2-affiliate-extension-free.html,null,https://landofcoder.com/media/catalog/product/cache/1/small_image/350x/040ec09b1e35df139433887a97daa66f/m/a/main_image_4_1.jpg,Landofcoder,"","","",,,,,"0","0",2022-01-23 01:37:07,2020-04-27 03:58:32
675,Page Builder Extension for Magento 2,Are you looking for a solution to build a Magento 2 theme faster and... ,"0",https://landofcoder.com/magento-2-page-builder.html,null,https://landofcoder.com/media/catalog/product/cache/1/small_image/350x/040ec09b1e35df139433887a97daa66f/m/a/magento-2-page-builder-main-1.png,Landofcoder,"",personalization,"",,,,,"0","0",2022-01-26 00:57:30,2020-04-27 03:58:32
679,Magento 2 Lazy Load,Load Magento 2 images with beautiful transition Saves web server... ,"0",https://landofcoder.com/magento-2-lazy-load.html,null,https://landofcoder.com/media/catalog/product/cache/1/small_image/350x/040ec09b1e35df139433887a97daa66f/m/2/m2-lazy-load.png,Landofcoder,"","","",,,,,"0","0",2022-01-23 01:37:07,2020-04-27 03:58:32
689,Free Magento 2 Admin Theme,Are you looking for a tool to better your Magento Store Management? But it... ,"0",https://landofcoder.com/magento-2-admin-theme.html,null,https://landofcoder.com/media/catalog/product/cache/1/small_image/350x/040ec09b1e35df139433887a97daa66f/m/2/m2-admin-theme.jpg,Landofcoder,"","","",,,,,"0","0",2022-01-23 01:37:07,2020-04-27 03:58:32
690,Magento 2 Slack Integration Extension,Are you looking for the best solution for your Magento 2 Store with Slack Chat?... ,"0",https://landofcoder.com/magento-2-slack-integration-extension.html,null,https://landofcoder.com/media/catalog/product/cache/1/small_image/350x/040ec09b1e35df139433887a97daa66f/m/2/m2-slack-integration.png,Landofcoder,"","","",,,,,"0","0",2022-01-23 01:37:07,2020-04-27 03:58:32
713,Image Slider Extension for Magento 2,"Fully responsive Magento 2 Slider Extension Support editor for image, video... ","0",https://landofcoder.com/magento-2-image-slider.html,null,https://landofcoder.com/media/catalog/product/cache/1/small_image/350x/040ec09b1e35df139433887a97daa66f/m/2/m2-image-slider.png,Landofcoder,"","","",,,,,"0","0",2022-01-23 01:37:07,2020-04-27 03:58:32
